geo_id,tract_name,population,median_age,under_18_pct,age_65_plus_pct,white_pct,black_pct,asian_pct,hispanic_pct,year
1400000US17031010100,"Census Tract 101, Cook County, Illinois",4522,35.3,893,252,1855,2059,28,4522,2018
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",7039,36.3,1760,464,2284,2592,148,7039,2018
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",2852,35.7,537,382,812,765,315,2852,2018
1400000US17031010300,"Census Tract 103, Cook County, Illinois",6650,41.6,977,1247,3082,2082,150,6650,2018
1400000US17031010400,"Census Tract 104, Cook County, Illinois",5153,25.2,568,341,3435,966,327,5153,2018
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4147,37.7,429,483,1891,1368,246,4147,2018
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",2802,31.3,276,120,1443,772,234,2802,2018
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",1713,37.1,97,565,1072,227,216,1713,2018
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6271,33.0,841,492,3517,1030,162,6271,2018
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3766,36.1,875,344,1514,719,518,3766,2018
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5096,30.8,1397,130,1550,1184,397,5096,2018
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3836,38.2,830,491,1218,1157,377,3836,2018
1400000US17031020200,"Census Tract 202, Cook County, Illinois",6739,32.7,2168,872,3190,1068,1186,6739,2018
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",5472,36.2,1698,1276,4043,202,600,5472,2018
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",5348,39.1,1359,852,2979,850,498,5348,2018
1400000US17031020400,"Census Tract 204, Cook County, Illinois",4236,38.8,1040,732,1777,858,631,4236,2018
1400000US17031020500,"Census Tract 205, Cook County, Illinois",6584,32.6,1581,854,1125,837,2340,6584,2018
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",6131,39.2,1632,903,3521,570,1333,6131,2018
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",4734,30.9,1399,658,1977,535,996,4734,2018
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1748,39.7,390,268,1116,92,283,1748,2018
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",7674,31.8,2128,952,3424,666,1734,7674,2018
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",6112,38.7,1153,814,2390,326,1792,6112,2018
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",7952,34.4,1867,510,2191,1111,2692,7952,2018
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",5966,31.3,1569,393,1317,1366,1455,5966,2018
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",4680,37.7,886,630,1932,682,1070,4680,2018
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3768,38.3,632,562,1455,1042,573,3768,2018
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",2703,38.1,109,360,1420,433,364,2703,2018
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",2252,27.6,143,149,1068,402,332,2252,2018
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",3569,22.6,115,380,2261,303,609,3569,2018
1400000US17031030200,"Census Tract 302, Cook County, Illinois",5444,41.4,715,661,4197,366,138,5444,2018
1400000US17031030300,"Census Tract 303, Cook County, Illinois",3464,36.1,748,460,1216,458,426,3464,2018
1400000US17031030400,"Census Tract 304, Cook County, Illinois",2582,40.4,350,381,1352,95,167,2582,2018
1400000US17031030500,"Census Tract 305, Cook County, Illinois",6428,38.6,550,708,3883,350,457,6428,2018
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",3956,40.1,539,723,1892,699,615,3956,2018
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",2258,35.0,285,178,845,650,290,2258,2018
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",3344,40.8,333,690,1426,768,825,3344,2018
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",1712,36.0,162,228,752,446,273,1712,2018
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",2252,46.9,236,489,1220,75,830,2252,2018
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",2909,40.5,208,512,1707,548,145,2909,2018
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2928,48.9,239,895,1626,522,539,2928,2018
1400000US17031030800,"Census Tract 308, Cook County, Illinois",4392,41.6,561,795,3147,169,398,4392,2018
1400000US17031030900,"Census Tract 309, Cook County, Illinois",3061,39.6,320,355,1912,363,340,3061,2018
1400000US17031031000,"Census Tract 310, Cook County, Illinois",4089,36.3,504,387,2727,190,275,4089,2018
1400000US17031031100,"Census Tract 311, Cook County, Illinois",5059,35.4,515,682,3302,102,416,5059,2018
1400000US17031031200,"Census Tract 312, Cook County, Illinois",5937,34.6,1213,503,2571,1204,605,5937,2018
1400000US17031031300,"Census Tract 313, Cook County, Illinois",7604,45.8,989,1760,3678,1555,1457,7604,2018
1400000US17031031400,"Census Tract 314, Cook County, Illinois",4853,37.8,230,1013,3159,479,704,4853,2018
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",4587,38.9,954,807,1533,1439,847,4587,2018
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",4651,33.1,759,306,1527,1867,330,4651,2018
1400000US17031031700,"Census Tract 317, Cook County, Illinois",6691,34.9,744,367,3728,1473,386,6691,2018
1400000US17031031800,"Census Tract 318, Cook County, Illinois",1857,34.2,269,115,1439,48,133,1857,2018
1400000US17031031900,"Census Tract 319, Cook County, Illinois",2566,33.8,300,238,1837,177,123,2566,2018
1400000US17031032100,"Census Tract 321, Cook County, Illinois",6837,36.5,517,733,4554,251,227,6837,2018
1400000US17031040100,"Census Tract 401, Cook County, Illinois",3879,37.2,708,384,2677,202,179,3879,2018
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",6891,33.6,1193,663,4016,174,595,6891,2018
