geo_id,tract_name,labor_force_population,unemployment_rate,mean_commute_minutes,median_household_income,per_capita_income,poverty_rate,year
1400000US17031010100,"Census Tract 101, Cook County, Illinois",3645,7,35.3,37985,29482,35.8,2018
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",5433,7.3,40.6,39549,24590,36.8,2018
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",2351,6.5,31.3,38370,20228,18.5,2018
1400000US17031010300,"Census Tract 103, Cook County, Illinois",5719,4.9,37.3,38866,34268,16.1,2018
1400000US17031010400,"Census Tract 104, Cook County, Illinois",4671,7.7,34.6,39152,22526,19.1,2018
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",3752,8.7,39.9,34455,29890,20.7,2018
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",2541,3.7,35.4,37500,27299,30,2018
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",1616,7.7,36.7,20357,25568,48,2018
1400000US17031010600,"Census Tract 106, Cook County, Illinois",5447,7.5,40,47549,32742,24.4,2018
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",2955,4.9,35.5,55529,30136,20.8,2018
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",3892,5.2,38.5,41161,23255,24.2,2018
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3222,5.9,35.4,51346,33453,14.2,2018
1400000US17031020200,"Census Tract 202, Cook County, Illinois",4930,8.4,32.1,66831,30936,13.5,2018
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",3963,6,30.4,54496,31803,13.6,2018
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",4087,7.3,35.8,72572,33469,22.8,2018
1400000US17031020400,"Census Tract 204, Cook County, Illinois",3330,3.7,35.3,63977,34574,17.9,2018
1400000US17031020500,"Census Tract 205, Cook County, Illinois",5084,13.6,31.9,41432,18634,26.3,2018
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",4764,10.9,28.6,41308,23672,24.3,2018
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",3392,7.7,32.9,53234,21390,22,2018
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1381,7.2,35.8,91477,41159,6.6,2018
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",5686,9.3,28.8,47063,18245,22.1,2018
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",5076,7.3,38.5,51467,26339,16.5,2018
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",6376,8.2,33.1,48067,20804,26.2,2018
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",4524,3.9,37.1,49901,19599,28.9,2018
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",3898,5.4,38.8,37405,19323,26.7,2018
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3159,8.9,33.3,48927,32941,14.7,2018
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",2594,5.5,37.9,45086,46006,16.2,2018
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",2127,10.7,33.4,49103,28231,16.6,2018
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",3491,11.5,30,37586,22300,27.9,2018
1400000US17031030200,"Census Tract 302, Cook County, Illinois",4798,5.8,38.4,65810,44456,14.3,2018
1400000US17031030300,"Census Tract 303, Cook County, Illinois",2793,5.7,38.9,38427,27545,24,2018
1400000US17031030400,"Census Tract 304, Cook County, Illinois",2255,6.9,40.8,50781,43324,15.9,2018
1400000US17031030500,"Census Tract 305, Cook County, Illinois",5892,2.3,39.3,79414,49897,5.5,2018
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",3417,3.4,39.8,41675,30852,17.6,2018
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",1983,4.3,37.8,34415,38579,23.9,2018
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",3042,4.6,38.8,35096,40040,24.4,2018
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",1554,9.1,40.3,41042,29135,26.3,2018
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",2016,7.5,37.8,59414,54796,13.1,2018
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",2768,4.6,38.1,40195,41952,25.1,2018
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2689,8.5,37.7,39308,44898,13.3,2018
1400000US17031030800,"Census Tract 308, Cook County, Illinois",3847,4.9,41.5,90288,61974,8.9,2018
1400000US17031030900,"Census Tract 309, Cook County, Illinois",2752,3,36.7,95958,55527,9.4,2018
1400000US17031031000,"Census Tract 310, Cook County, Illinois",3626,4.5,35.6,81291,54487,6.8,2018
1400000US17031031100,"Census Tract 311, Cook County, Illinois",4544,5.2,39.6,68304,40276,12.3,2018
1400000US17031031200,"Census Tract 312, Cook County, Illinois",4857,4.2,38,40380,28801,26.9,2018
1400000US17031031300,"Census Tract 313, Cook County, Illinois",6729,2.7,37.6,41445,34610,22.1,2018
1400000US17031031400,"Census Tract 314, Cook County, Illinois",4623,1.9,34.7,69590,61377,10.6,2018
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",3716,10.6,34.1,25257,20749,46.9,2018
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",3984,8.5,34.6,25317,24541,32.3,2018
1400000US17031031700,"Census Tract 317, Cook County, Illinois",6003,4.5,37.8,56175,44030,24,2018
1400000US17031031800,"Census Tract 318, Cook County, Illinois",1611,3.1,35.8,78558,55866,7.1,2018
1400000US17031031900,"Census Tract 319, Cook County, Illinois",2336,7,36.9,67760,48408,11.4,2018
1400000US17031032100,"Census Tract 321, Cook County, Illinois",6428,6.4,37.9,53013,48403,23.7,2018
1400000US17031040100,"Census Tract 401, Cook County, Illinois",3207,1.6,36.1,85368,46779,11.4,2018
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",5808,2.5,37.2,71322,39369,8.1,2018
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",6272,6.3,40.3,40011,27971,18.5,2018
1400000US17031040300,"Census Tract 403, Cook County, Illinois",2507,11.3,38.6,90250,45774,1.4,2018
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",2909,5.9,37.9,89063,48155,3.7,2018
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",4180,3.2,33.3,82798,58903,6.5,2018
1400000US17031040600,"Census Tract 406, Cook County, Illinois",2118,5.2,38.4,82383,52838,3.8,2018
1400000US17031040700,"Census Tract 407, Cook County, Illinois",2833,2.1,36.8,76915,48498,6.9,2018
1400000US17031040800,"Census Tract 408, Cook County, Illinois",1550,2.4,36.8,76809,48874,5.9,2018
1400000US17031040900,"Census Tract 409, Cook County, Illinois",1656,4.6,40.7,76964,62672,8.4,2018
1400000US17031050100,"Census Tract 501, Cook County, Illinois",2234,3.2,37,114012,65257,4.9,2018
1400000US17031050200,"Census Tract 502, Cook County, Illinois",4009,4.4,32.7,85671,63070,3.3,2018
1400000US17031050300,"Census Tract 503, Cook County, Illinois",2159,6.5,36.4,84844,49962,9.7,2018
1400000US17031050500,"Census Tract 505, Cook County, Illinois",4379,2.8,37,133845,71420,3,2018
1400000US17031050600,"Census Tract 506, Cook County, Illinois",1864,3.9,36.5,105513,84049,8.1,2018
1400000US17031050700,"Census Tract 507, Cook County, Illinois",1283,1.3,36,124500,73025,3.5,2018
1400000US17031050800,"Census Tract 508, Cook County, Illinois",1119,6.2,37.4,116000,71713,4.4,2018
1400000US17031050900,"Census Tract 509, Cook County, Illinois",1030,3.9,33.2,91719,57645,4.8,2018
1400000US17031051000,"Census Tract 510, Cook County, Illinois",1294,1,36.1,109130,60955,5.4,2018
1400000US17031051100,"Census Tract 511, Cook County, Illinois",1150,0.5,34.6,136131,72782,3.3,2018
1400000US17031051200,"Census Tract 512, Cook County, Illinois",1259,2.1,38.9,129167,77496,4.6,2018
1400000US17031051300,"Census Tract 513, Cook County, Illinois",2141,1.3,34,178750,96759,2.4,2018
1400000US17031051400,"Census Tract 514, Cook County, Illinois",1415,3.3,34.7,116364,76527,7.9,2018
1400000US17031060100,"Census Tract 601, Cook County, Illinois",2306,1.4,36.4,92593,66775,6.4,2018
1400000US17031060200,"Census Tract 602, Cook County, Illinois",1974,2.9,38.2,72679,65610,15.3,2018
1400000US17031060300,"Census Tract 603, Cook County, Illinois",2603,1.7,34.5,117415,71825,1.1,2018
1400000US17031060400,"Census Tract 604, Cook County, Illinois",3001,3.9,37.5,122708,75766,10.7,2018
1400000US17031060500,"Census Tract 605, Cook County, Illinois",1108,3.2,36.6,34130,57073,22.6,2018
1400000US17031060800,"Census Tract 608, Cook County, Illinois",4657,4.6,35.4,87723,64058,4.9,2018
1400000US17031060900,"Census Tract 609, Cook County, Illinois",6667,1.9,38.2,59942,56679,8.9,2018
1400000US17031061000,"Census Tract 610, Cook County, Illinois",2096,2.6,33.9,116389,70036,14.4,2018
1400000US17031061100,"Census Tract 611, Cook County, Illinois",1241,0.5,35.7,107500,67750,6.7,2018
1400000US17031061200,"Census Tract 612, Cook County, Illinois",1674,1,38.4,112292,70359,8.2,2018
1400000US17031061500,"Census Tract 615, Cook County, Illinois",1709,2.7,34.2,125000,72538,6.6,2018
1400000US17031061800,"Census Tract 618, Cook County, Illinois",1182,4.6,39.6,73523,41282,12.5,2018
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",3289,3.3,34.9,60909,55484,10.2,2018
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",4402,7.8,30.9,64508,63256,11.9,2018
1400000US17031062000,"Census Tract 620, Cook County, Illinois",2766,2.2,32.9,80595,58495,5.8,2018
1400000US17031062100,"Census Tract 621, Cook County, Illinois",3462,4.5,34.5,94500,66793,14.8,2018
1400000US17031062200,"Census Tract 622, Cook County, Illinois",2410,2.3,33,119392,69820,6.7,2018
1400000US17031062300,"Census Tract 623, Cook County, Illinois",1342,2.6,35.6,154000,123203,4.2,2018
1400000US17031062400,"Census Tract 624, Cook County, Illinois",1324,3.3,35.9,127059,91514,3.7,2018
1400000US17031062500,"Census Tract 625, Cook County, Illinois",1344,3,36.1,131818,90029,13,2018
1400000US17031062600,"Census Tract 626, Cook County, Illinois",1803,4.6,37.8,158125,99511,1.6,2018
1400000US17031062700,"Census Tract 627, Cook County, Illinois",2274,1.2,31.7,168352,89796,4.3,2018
1400000US17031062800,"Census Tract 628, Cook County, Illinois",3062,2,32.3,143667,92270,5.1,2018
1400000US17031062900,"Census Tract 629, Cook County, Illinois",3390,2.2,34.5,128750,80105,7.4,2018
1400000US17031063000,"Census Tract 630, Cook County, Illinois",3055,2.4,29.8,99213,70400,8.1,2018
1400000US17031063100,"Census Tract 631, Cook County, Illinois",2017,3.8,36.2,95365,69992,8,2018
1400000US17031063200,"Census Tract 632, Cook County, Illinois",6316,4.5,35.3,65426,65033,8.4,2018
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",2656,0.6,36.2,58371,55219,15.3,2018
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",3620,0.3,35,78720,68450,7.3,2018
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1195,4.9,36.1,81705,74168,5.9,2018
1400000US17031063400,"Census Tract 634, Cook County, Illinois",2048,1.2,34.8,97305,65558,5.7,2018
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",3501,5.8,37.9,64968,64848,15.9,2018
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",2741,1.2,34.3,70057,80300,6.6,2018
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1546,2.9,30.6,58914,47440,10.1,2018
1400000US17031070200,"Census Tract 702, Cook County, Illinois",3747,2.6,33,92441,74738,9.6,2018
1400000US17031070300,"Census Tract 703, Cook County, Illinois",3131,2.7,31.3,143221,77727,7.7,2018
1400000US17031070400,"Census Tract 704, Cook County, Illinois",2943,0,30.2,113409,90267,10.2,2018
1400000US17031070500,"Census Tract 705, Cook County, Illinois",2895,4.1,32.9,155729,106510,4.7,2018
1400000US17031070600,"Census Tract 706, Cook County, Illinois",2537,2.5,34.6,157125,89300,4.7,2018
1400000US17031070700,"Census Tract 707, Cook County, Illinois",3319,2.5,33.8,120192,78725,16.7,2018
1400000US17031071000,"Census Tract 710, Cook County, Illinois",4241,6.5,22.4,138934,48479,9.5,2018
1400000US17031071100,"Census Tract 711, Cook County, Illinois",2812,2.8,29.5,119432,81339,10.1,2018
1400000US17031071200,"Census Tract 712, Cook County, Illinois",1765,2,30.5,109191,79556,8.9,2018
1400000US17031071300,"Census Tract 713, Cook County, Illinois",3385,3.2,30.2,112788,104725,8.8,2018
1400000US17031071400,"Census Tract 714, Cook County, Illinois",4451,2.7,30.2,93529,86962,16.4,2018
1400000US17031071500,"Census Tract 715, Cook County, Illinois",5435,1.6,29.9,94598,85201,4.7,2018
1400000US17031071600,"Census Tract 716, Cook County, Illinois",1415,3,29.2,142583,98308,8.8,2018
1400000US17031071700,"Census Tract 717, Cook County, Illinois",1417,2.8,24.4,162054,90406,2.4,2018
1400000US17031071800,"Census Tract 718, Cook County, Illinois",2196,0.6,29.8,141806,96190,4.6,2018
1400000US17031080100,"Census Tract 801, Cook County, Illinois",6356,5.2,33.3,111372,116747,8.1,2018
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",3107,4.9,33.5,87221,82005,1.2,2018
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",3110,4,27.3,83806,103281,9.5,2018
1400000US17031080300,"Census Tract 803, Cook County, Illinois",4186,2.3,29.4,122479,109636,5.2,2018
