geo_id,tract_name,households_total,median_household_income,mean_household_income,households_50k_74k,households_75k_99k,households_100k_149k,households_150k_199k,households_200k_plus,year
1400000US17031010100,"Census Tract 101, Cook County, Illinois",2316,37985.0,56105.0,12.3,10.4,13.8,3.8,2.5,2018
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",2688,39549.0,61626.0,22.4,8.0,12.3,1.2,1.6,2018
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",1102,38370.0,49615.0,17.9,8.1,8.8,2.5,1.1,2018
1400000US17031010300,"Census Tract 103, Cook County, Illinois",3037,38866.0,69967.0,13.1,14.2,5.0,3.3,5.3,2018
1400000US17031010400,"Census Tract 104, Cook County, Illinois",1938,39152.0,54235.0,15.3,9.3,11.8,3.8,1.4,2018
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",2425,34455.0,49235.0,13.9,9.3,3.5,4.3,2.5,2018
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",1508,37500.0,48174.0,15.4,4.8,6.8,4.6,0.5,2018
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",968,20357.0,43885.0,14.0,3.0,5.0,1.8,5.0,2018
1400000US17031010600,"Census Tract 106, Cook County, Illinois",2875,47549.0,69573.0,16.9,5.5,12.1,6.3,6.5,2018
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",1459,55529.0,75113.0,18.8,13.5,10.8,7.0,4.7,2018
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",2060,41161.0,55290.0,14.6,14.1,7.0,2.3,1.8,2018
1400000US17031020100,"Census Tract 201, Cook County, Illinois",1556,51346.0,77140.0,21.3,9.4,11.6,3.7,4.4,2018
1400000US17031020200,"Census Tract 202, Cook County, Illinois",2135,66831.0,96642.0,22.1,9.2,18.2,12.3,7.3,2018
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",2025,54496.0,83926.0,17.7,10.7,15.8,2.4,7.5,2018
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",1736,72572.0,98410.0,21.8,7.5,20.4,7.4,10.8,2018
1400000US17031020400,"Census Tract 204, Cook County, Illinois",1669,63977.0,85014.0,15.7,11.5,17.9,7.3,7.1,2018
1400000US17031020500,"Census Tract 205, Cook County, Illinois",2135,41432.0,53492.0,20.6,8.4,6.6,5.0,0.8,2018
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",1979,41308.0,70691.0,15.1,6.2,7.6,6.5,5.9,2018
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",1421,53234.0,67320.0,25.8,7.8,12.9,6.1,3.2,2018
