reviewer,review_date,review_text
Joshua C.,2013-11-13 00:00:00,"Like any other Walmart around the country, ""It is, what it is."" Don't expect it to look like Whole Foods in the Supermarket section and don't expect it to be clean and organized like Target.  Its Walmart, get in and get out.  Just expect to wait in line because of all the 30 registers only 5-6 are open to cash you out.P.S. Its not the holidays yet and the employees looked warn out. Give these Folks a raise and benefits already!"
LaTrice T.,2021-04-09 00:00:00,"Wished I could give a very thorough review but the truth is, I didn't even get passed a phone call with this placed. I tried calling the Walmart Vision Center in Chatham to make an appointment for my daughter. The number given to me through the insurance was not directly to the vision department but the actual store itself so I was transferred. I waited patiently on hold but they kept picking up the phone and placing the call back on hold. They did that 3x's! with the last pick up resulting in me being disconnected. How rude and unprofessional!"
Quinella H.,2020-01-03 00:00:00,Every month you come here the system broke u can't never get a money order send money nor cash a check it never fails ?all the money Walmart makes & there system stay broke at this location (ALWAYS) than it's always the workers with nasty attitudes wen u ask them a question GHETTO BUT WILL SEAT ON THERE PHONES ON THE CLOCK LIKE FORGET THE CUSTOMERS
Brian S.,2014-12-05 00:00:00,"After years of the only chicago Walmart being on the other side of town, I gotta say I'm glad this was built.   However, it did the exist whe. I actually lived in Chatham. Now the service is another story.  It's mediocre at best, and there's a lot of random nonsense going on in the parking lot.  This store is kinda messy compared to other Walmarts.  And it's not a South side thing either.   The other Walmart in Pullman is waaayyyy cleaner and nicer than this one.  However, it's further from my house and inconvenient to go to typically.  Walmart neighborhood market is closest to me, but they obviously don't have as much stuff as the full store."
Alecia K.,2015-06-24 00:00:00,"I think it's great to have a Walmart in the Chatham community. I used to live there and I'm glad to come back and see that the community is growing. I often order things online, and I have to go to the Online Pickup area to pick up my products. The man that usually gets my online order is very nice and professional. There was a time that I received an email from Walmart stating that my order (a lamp) was ready for pick - up, and when I got there, it wasn't even available at the store. The man handled it very well, by walking me to the isle of the lamps and tried to see if I wanted to get anything else. Overall, I always have a great experience there, and I have had encounters with very polite and professional employees."
Juice E.,2016-10-19 00:00:00,"The over all layout and organization mirrors other locations. Where the store plummets for me, is in the checkout section. Months and months of poor checkout service have led to critique the stores management. There is no leadership in this aspect. Whether you check out at 9am or 11pm, it's always a drag."
Terri R.,2018-07-02 00:00:00,"This has to be one of the worst Walmart's in the city of Chicago. My main complaint are the length of the lines, as well as the self-checkouts. You have to go really early to this store to get in and out. I don't know if the length of the lines is because they are understaffed or if it is just a really high traffic store. But either way they are not prepared for it in the least! And on top of that the self-checkouts are card ONLY! How does this help to move the line along if half of the customers may have cash! When it's super busy people take full carts and try and use the self-checkouts!"
s. L. S.,2018-04-25 00:00:00,"I frequent the store monthly sometimes twice a month.  Usually find what I need and good price.  However the last 3 times I have gone (March and April 2018), I have been followed in the store by different men.  Not sure why. Not sure is they are security, but why would they follow me. They do not look like security.  Two of them had on grey sweat pants.  It makes me nervous and feel in some possible danger, as an older female.  Decided I will stop shopping at that store."
Rodney W.,2017-09-23 00:00:00,"I would travel to Wal-Mart in Skokie than this one located on 83rd & stewart. The staff always in a huddle talking about personal experience on last night. Swearing, I ask for directions they mention it is in alise 10 and its clearly they dont know their job, just collecting a check.  Every body wants a Job, but doesn't want to work. It is Sad that Wal Mart doesn't train their employees to be excellent in professionalism. It seem they hire people off the street.  But what your are doing is doing is a disservice to the employee and the Customer.  Where Is Your Pride Wal Mart???"
Easter L.,2017-07-07 00:00:00,"This store is something else, from the poor customer service to the front end people hiding when then store manager leave. NOTHING GETS DONE. Everyone is on break til the store closes. The young ladies on the yellow vest needs to be Retrained or removed from their current position. Lines to the back of the store or everyone hanging out in the food area. Smdh"
