Reviewer,Date,review,clean_review,polarity,sentiment,year
Joshua C.,2013-11-13,"Like any other Walmart around the country, ""It is, what it is."" Don't expect it to look like Whole Foods in the Supermarket section and don't expect it to be clean and organized like Target.  Its Walmart, get in and get out.  Just expect to wait in line because of all the 30 registers only 5-6 are open to cash you out.P.S. Its not the holidays yet and the employees looked warn out. Give these Folks a raise and benefits already!",like walmart around country dont expect look like whole foods supermarket section dont expect clean organized like target walmart get get expect wait line registers open cash outps holidays yet employees looked warn give folks raise benefits already,0.18888888888888888,Positive,2013
LaTrice T.,2021-04-09,"Wished I could give a very thorough review but the truth is, I didn't even get passed a phone call with this placed. I tried calling the Walmart Vision Center in Chatham to make an appointment for my daughter. The number given to me through the insurance was not directly to the vision department but the actual store itself so I was transferred. I waited patiently on hold but they kept picking up the phone and placing the call back on hold. They did that 3x's! with the last pick up resulting in me being disconnected. How rude and unprofessional!",wished could give thorough review truth didnt even get passed phone call placed tried calling walmart vision center chatham make appointment daughter number given insurance directly vision department actual store transferred waited patiently hold kept picking phone placing call back hold xs last pick resulting disconnected rude unprofessional,-0.049999999999999996,Neutral,2021
Quinella H.,2020-01-03,Every month you come here the system broke u can't never get a money order send money nor cash a check it never fails ‍all the money Walmart makes & there system stay broke at this location (ALWAYS) than it's always the workers with nasty attitudes wen u ask them a question GHETTO BUT WILL SEAT ON THERE PHONES ON THE CLOCK LIKE FORGET THE CUSTOMERS,every month come system broke u cant never get money order send money cash check never fails ‍all money walmart makes system stay broke location always always workers nasty attitudes wen u ask question ghetto seat phones clock like forget customers,-0.375,Negative,2020
Brian S.,2014-12-05,"After years of the only chicago Walmart being on the other side of town, I gotta say I'm glad this was built.   However, it did the exist whe. I actually lived in Chatham. Now the service is another story.  It's mediocre at best, and there's a lot of random nonsense going on in the parking lot.  This store is kinda messy compared to other Walmarts.  And it's not a South side thing either.   The other Walmart in Pullman is waaayyyy cleaner and nicer than this one.  However, it's further from my house and inconvenient to go to typically.  Walmart neighborhood market is closest to me, but they obviously don't have as much stuff as the full store.",years chicago walmart side town got ta say im glad built however exist whe actually lived chatham service another story mediocre best theres lot random nonsense going parking lot store kinda messy compared walmarts south side thing either walmart pullman waaayyyy cleaner nicer one however house inconvenient go typically walmart neighborhood market closest obviously dont much stuff full store,0.007575757575757574,Neutral,2014
Alecia K.,2015-06-24,"I think it's great to have a Walmart in the Chatham community. I used to live there and I'm glad to come back and see that the community is growing. I often order things online, and I have to go to the Online Pickup area to pick up my products. The man that usually gets my online order is very nice and professional. There was a time that I received an email from Walmart stating that my order (a lamp) was ready for pick - up, and when I got there, it wasn't even available at the store. The man handled it very well, by walking me to the isle of the lamps and tried to see if I wanted to get anything else. Overall, I always have a great experience there, and I have had encounters with very polite and professional employees.",think great walmart chatham community used live im glad come back see community growing often order things online go online pickup area pick products man usually gets online order nice professional time received email walmart stating order lamp ready pick got wasnt even available store man handled well walking isle lamps tried see wanted get anything else overall always great experience encounters polite professional employees,0.2821969696969698,Positive,2015
Juice E.,2016-10-19,"The over all layout and organization mirrors other locations. Where the store plummets for me, is in the checkout section. Months and months of poor checkout service have led to critique the stores management. There is no leadership in this aspect. Whether you check out at 9am or 11pm, it's always a drag.",layout organization mirrors locations store plummets checkout section months months poor checkout service led critique stores management leadership aspect whether check pm always drag,-0.25,Negative,2016
Terri R.,2018-07-02,"This has to be one of the worst Walmart's in the city of Chicago. My main complaint are the length of the lines, as well as the self-checkouts. You have to go really early to this store to get in and out. I don't know if the length of the lines is because they are understaffed or if it is just a really high traffic store. But either way they are not prepared for it in the least! And on top of that the self-checkouts are card ONLY! How does this help to move the line along if half of the customers may have cash! When it's super busy people take full carts and try and use the self-checkouts!",one worst walmarts city chicago main complaint length lines well selfcheckouts go really early store get dont know length lines understaffed really high traffic store either way prepared least top selfcheckouts card help move line along half customers may cash super busy people take full carts try use selfcheckouts,-0.005151515151515129,Neutral,2018
s. L. S.,2018-04-25,"I frequent the store monthly sometimes twice a month.  Usually find what I need and good price.  However the last 3 times I have gone (March and April 2018), I have been followed in the store by different men.  Not sure why. Not sure is they are security, but why would they follow me. They do not look like security.  Two of them had on grey sweat pants.  It makes me nervous and feel in some possible danger, as an older female.  Decided I will stop shopping at that store.",frequent store monthly sometimes twice month usually find need good price however last times gone march april followed store different men sure sure security would follow look like security two grey sweat pants makes nervous feel possible danger older female decided stop shopping store,0.1515151515151515,Positive,2018
Rodney W.,2017-09-23,"I would travel to Wal-Mart in Skokie than this one located on 83rd & stewart. The staff always in a huddle talking about personal experience on last night. Swearing, I ask for directions they mention it is in alise 10 and its clearly they dont know their job, just collecting a check.  Every body wants a Job, but doesn't want to work. It is Sad that Wal Mart doesn't train their employees to be excellent in professionalism. It seem they hire people off the street.  But what your are doing is doing is a disservice to the employee and the Customer.  Where Is Your Pride Wal Mart???",would travel walmart skokie one located rd stewart staff always huddle talking personal experience last night swearing ask directions mention alise clearly dont know job collecting check every body wants job doesnt want work sad wal mart doesnt train employees excellent professionalism seem hire people street disservice employee customer pride wal mart,0.13333333333333333,Positive,2017
Easter L.,2017-07-07,"This store is something else, from the poor customer service to the front end people hiding when then store manager leave. NOTHING GETS DONE. Everyone is on break til the store closes. The young ladies on the yellow vest needs to be Retrained or removed from their current position. Lines to the back of the store or everyone hanging out in the food area. Smdh",store something else poor customer service front end people hiding store manager leave nothing gets done everyone break til store closes young ladies yellow vest needs retrained removed current position lines back store everyone hanging food area smdh,-0.06000000000000001,Neutral,2017
Jamese S.,2019-09-01,"Whether you are to go there 7am or 9pm, this Walmart SUCKS. There are never any hygiene items in stock whether if it's deodorant, body wash, men's soap, ANYTHING. The max of cashiers they'd have available are 2, meaning the lines are so long, they go into other aisles.  If I had the option to give this Walmart no stars, I would. This was the closest Walmart to me, but I'd rather drive 10 more miles to another Walmart than this one any day. The customer service is terrible. The tone of voice, the attitude, the worst customer service you could imagine. Honestly. I've tried this Walmart 3 times before giving it a review because I thought maybe I had been going at the wrong time, but it's clear they are understaffed, and the little amount of staff they do have are ghetto and have horrible service. Save yourself the time, you'd be better off going to another Walmart with the amount of time it takes standing in that line.",whether go pm walmart sucks never hygiene items stock whether deodorant body wash mens soap anything max cashiers theyd available meaning lines long go aisles option give walmart stars would closest walmart id rather drive miles another walmart one day customer service terrible tone voice attitude worst customer service could imagine honestly ive tried walmart times giving review thought maybe going wrong time clear understaffed little amount staff ghetto horrible service save time youd better going another walmart amount time takes standing line,-0.2215909090909091,Negative,2019
Dominique T.,2019-09-08,"This is the worst  Walmart ever lines are always long called the number trying to speak to a manager a rude associate answer the phone and refused to put a manager on the phone on September 8, 2019 associate standing around not working always. Only 6 lanes open not customer service friendly at all,they will take your money why should you have to stand in line over 20 minutes to pay money for there products. Where is the justice in this this store needs to recognize it is the consumer who pays there bills.",worst walmart ever lines always long called number trying speak manager rude associate answer phone refused put manager phone september associate standing around working always lanes open customer service friendly allthey take money stand line minutes pay money products justice store needs recognize consumer pays bills,-0.195,Negative,2019
Chris M.,2018-01-11,"Worst store in the worst chain in America. Shelves barely stocked looks like a,3rd world venue. Checkout even self check flooded with people so many backed up to checkout you can't determine where the line starts. Wal-Mart saves money on the backs of the time of its customers. It is a rainy 1pm Thursday  afternoon. If they gave stuff away I would not come here",worst store worst chain america shelves barely stocked looks like ard world venue checkout even self check flooded people many backed checkout cant determine line starts walmart saves money backs time customers rainy pm thursday afternoon gave stuff away would come,-0.3625,Negative,2018
Nia's P.,2019-07-13,If I could give this place zero stars I would they are literally always crowded always out of stock and never have and carts or workers. They literally close the self checkouts hours before closing is near and have about 5 registers open with the slowest cashiers. They have lines as long as the front area. Takes 20 minutes to buy one item. They don't even open the speedy checkout so people with a few items have to wait behind people with full carts. Ridiculous,could give place zero stars would literally always crowded always stock never carts workers literally close self checkouts hours closing near registers open slowest cashiers lines long front area takes minutes buy one item dont even open speedy checkout people items wait behind people full carts ridiculous,-0.04761904761904762,Neutral,2019
