review,polarity,Aspect
Horrible customer service. Staff always has nasty attitudes. I basically find items on my own or my mother helps me and we aren't even employed there.,-1.0,Staff
Most ignorant place I've ever been. Talk to you like you aren't a customer. I'll go to Indiana,-0.5,Other
I'm being generous giving this location ONE Star. Staff is rude and will not help. If there was a option for Zero Stars I would give it to them. Only go to this location only if you are desperate and don't feel like traveling to another location.,-0.44999999999999996,Staff
"If I could, I would give this location 0 stars. The shelves are often bare because all the inventory sits on palettes in the aisles. The employees seem uninterested and are just plain rude. The absolute worst Wal-mart I have ever visited. You could not pay me to return to that location. Execs in Bentonville need to visit this location to see how horribly this store represents their brand.",-0.3773809523809524,Staff
Every month you come here the system broke u can't never get a money order send money nor cash a check it never fails ‍all the money Walmart makes & there system stay broke at this location (ALWAYS) than it's always the workers with nasty attitudes wen u ask them a question GHETTO BUT WILL SEAT ON THERE PHONES ON THE CLOCK LIKE FORGET THE CUSTOMERS,-0.375,Staff
"Worst store in the worst chain in America. Shelves barely stocked looks like a,3rd world venue. Checkout even self check flooded with people so many backed up to checkout you can't determine where the line starts. Wal-Mart saves money on the backs of the time of its customers. It is a rainy 1pm Thursday  afternoon. If they gave stuff away I would not come here",-0.3625,Checkout
"this store need to get closed . this disorganized store don't know what they be doing all mangers need to be fired as soon as possible . they always accusing somebody of stealing things they never correct the issues that need to be correct . never answer the phone on no lines it was an emergency parent couldnt get inconact with the child,bad store bad never shop again never shopping on fucking 83 again walmart bullshit .",-0.35,Checkout
"Lazy ghetto employees which lack customer service skills!! the employees take their time, ring up friends before the next customer in line and don't even try to disguise it!!! The store is dirty and employees don't even move carts out of the aisle so customers can walk through.  Go somewhere else, i can't even suggest another walmart because you'll get the same thing....just go to target",-0.2833333333333333,Staff
When this store close in this neighborhood. Don't blame it on Chicago . Blame it on the Management team . Employees outside . Lines to the rear of the store people stealing . And customer service only take Returns and exchanges . Never will I return . Again if your lost prevention is high Trust me I know why . Nobody  is working !!!! What about your neighborhood and the Customers they deserve so much more than this !!!!! Disgusting I guess we will go to Evergreen Park or Jewels,-0.27999999999999997,Staff
Long lines... Every single day! Bad attitudes from floor associates and they are always in groups and can never tell you where anything is located in the aisle.,-0.2738095238095238,Staff
