review,polarity,Aspect
"I placed an order and paid for it at this location on October 22, 2016, to be picked up on November 11, 2016 and it never came.Walmart.com told me to cancel the order online and re-order, so I did. However; when I went to the store for assistance, I was at the ""Service Counter"" for over three (3) hours waiting for someone who could pull up the canceled order and give me a refund.  When I reordered, the same thing happened all over again. The best Solution, ""TARGET""!",1.0,Staff
The staff here is super unprofessional ! Just ghetto . They have no regard for the customers experience.,0.3333333333333333,Staff
"There were no signs of life... no ""FRESH"" foods. fruits, veggies, and meats were no fresh or stocked. This walmart is like the foster child of walmarts.",0.3,Product Availability
"I think it's great to have a Walmart in the Chatham community. I used to live there and I'm glad to come back and see that the community is growing. I often order things online, and I have to go to the Online Pickup area to pick up my products. The man that usually gets my online order is very nice and professional. There was a time that I received an email from Walmart stating that my order (a lamp) was ready for pick - up, and when I got there, it wasn't even available at the store. The man handled it very well, by walking me to the isle of the lamps and tried to see if I wanted to get anything else. Overall, I always have a great experience there, and I have had encounters with very polite and professional employees.",0.2821969696969698,Staff
"Like any other Walmart around the country, ""It is, what it is."" Don't expect it to look like Whole Foods in the Supermarket section and don't expect it to be clean and organized like Target.  Its Walmart, get in and get out.  Just expect to wait in line because of all the 30 registers only 5-6 are open to cash you out.P.S. Its not the holidays yet and the employees looked warn out. Give these Folks a raise and benefits already!",0.18888888888888888,Staff
"Most of the employees spend more time talking to one another than assisting the customers. The bathrooms are always a mess and don't ask for help because the employee is going to send you in whatever direction comes to mind in order to get you out of their face. The one employee that was great was Robert in customer service. Even at 7:00am he is smiling, he could teach the other employees about customer service. The return carts are overflowing and sitting in the front of the store and it looks a complete mess.On black Friday, it was unorganized and the lines were backed up. This is normal however because there are more people standing around than checking out customers. Even the front end managers stand around. I was a front end supervisor and when the lines were out of control I jumped in to help bring the lines down. Not at here...they watch and complain! The after Christmas sell was absent. I went to purchase a TV and was looking for a 32 inch. I wanted a 32 inch Samsung. I saw a 32 inch at Walmart but it was high. I went to Target, got a 40 inch Samsung Television for a cheaper price than the Walmart 32 inch television. Walmart was once the store I loved to come to, however these days it is getting worse. The women's clothing department looks like an Elderly person is the buyer. Nothing that makes a mature woman want to wear it because it is no style but a bunch of colors. You can find elastic waist pants all day. Other than that nothing jumps out.In addition, get some pizza's in there that are not pepperoni and sausage. Some people like to have a quality brand pizza that is beef or turkey. They purchase a few cheap brand beef pizza's and everyone doesn't eat pork. Again, the buyer isn't supplying the need of all customers.",0.16683333333333333,Staff
"I frequent the store monthly sometimes twice a month.  Usually find what I need and good price.  However the last 3 times I have gone (March and April 2018), I have been followed in the store by different men.  Not sure why. Not sure is they are security, but why would they follow me. They do not look like security.  Two of them had on grey sweat pants.  It makes me nervous and feel in some possible danger, as an older female.  Decided I will stop shopping at that store.",0.1515151515151515,Pricing
"Everyone loves Walmart including me because the prices are pretty low BUT this Walmart just sucks. I only gave the store TWO stars because the company keeps lower prices. You can NEVER go in this store and walk into it clean.They always have pallets in the aisles with empty shelves. If you ask people for assistance, they act like they want to help but never come back. Or will call for a manager who has an attitude as well. Honestly I'd rather pay more for better service, quick check out and a clean store. Hello Target! Oh wait...and not to mention, the self checkouts are always ""card only, no cash, no cash back."" Not a problem for me BUT for some it is. Maybe this Walmart should consider hiring more people and having more than 2 lines open. And hiring people who want to work, keep merchandise on the shelves, off the pallets and know what customer service is. I've met maybe 4 people who are actually nice there. I'll stick to the Walmart stores in the suburbs",0.1346153846153846,Staff
"I would travel to Wal-Mart in Skokie than this one located on 83rd & stewart. The staff always in a huddle talking about personal experience on last night. Swearing, I ask for directions they mention it is in alise 10 and its clearly they dont know their job, just collecting a check.  Every body wants a Job, but doesn't want to work. It is Sad that Wal Mart doesn't train their employees to be excellent in professionalism. It seem they hire people off the street.  But what your are doing is doing is a disservice to the employee and the Customer.  Where Is Your Pride Wal Mart???",0.13333333333333333,Staff
"Wal-Mart  Is full of s&%$.Back in the summer, I went into Wal-Mart on 83rd and Stewart to get some Moo and Oink pork hot links. They had them advertised at 10.39 for a box. I HAD TO GO to the manager and complain. He told me that pricing is done at the corporate level and he could not do anything to change it. Pete's on 87th and Loomis had them for 7.99 and Pete's at 95th and Pulaski had them for 6.49 REGULAR PRICE !!! You see that commercial comparing prices between Jewel and Wal-Mart and that is also Buls&*#. The prices they compare is stuff that you don't even want. Ever since Sam Walton died, Wal-Mart has went from sugar to s8!+",0.12,Staff
