geo_id,tract_name,hs_grad_or_higher,bachelors_or_higher,bachelors_degree,graduate_degree,year
1400000US17031010100,"Census Tract 101, Cook County, Illinois",2823,1483,916,567,2018
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",3910,1505,947,558,2018
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",1602,669,425,244,2018
1400000US17031010300,"Census Tract 103, Cook County, Illinois",4623,2060,1029,1031,2018
1400000US17031010400,"Census Tract 104, Cook County, Illinois",2518,1705,1070,635,2018
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",3266,1853,1058,795,2018
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",1770,1041,644,397,2018
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",963,436,203,233,2018
1400000US17031010600,"Census Tract 106, Cook County, Illinois",4163,2416,1435,981,2018
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",2312,1220,670,550,2018
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",2407,1423,853,570,2018
1400000US17031020100,"Census Tract 201, Cook County, Illinois",2206,1128,834,294,2018
1400000US17031020200,"Census Tract 202, Cook County, Illinois",3550,1977,1064,913,2018
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",3173,2008,1291,717,2018
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",3258,1845,1130,715,2018
1400000US17031020400,"Census Tract 204, Cook County, Illinois",2519,1442,821,621,2018
1400000US17031020500,"Census Tract 205, Cook County, Illinois",3265,1554,1021,533,2018
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",3229,1609,942,667,2018
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",2566,1326,797,529,2018
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1176,609,313,296,2018
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",3926,1484,1097,387,2018
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",3118,1255,716,539,2018
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",4309,1601,1088,513,2018
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",3137,1432,892,540,2018
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",2669,868,593,275,2018
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",2820,1497,935,562,2018
